metro_station;bus_stop;distance
Окружная;«7-й автобусный парк», Дмитровское шоссе (в центр);499.74146196964693
Окружная;«Нижн. Лихоборы», Дмитровское шоссе (в центр);369.87315685219977
Окружная;«Нижн. Лихоборы», Дмитровское шоссе (в центр);396.1326600879049
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра);52.004840667183046
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра);70.18582302962096
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра);446.66392233451904
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра);54.045950912028765
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (2);32.70010381135813
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (2);24.989145420062517
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (2);405.38250623124827
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (2);54.97837957715765
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (1);64.88520652258808
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (1);80.0781002482721
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (1);459.27955009680926
Петровско-Разумовская;«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (1);68.88604124893597
Окружная;«Нижн. Лихоборы», Дмитровское шоссе (от центра) (1);333.708186820372
Окружная;«Нижн. Лихоборы», Дмитровское шоссе (от центра) (1);360.18880579568537
Войковская;«Онкологический диспансер», Старопетровский проезд (от центра);465.94058725881393
Митино;«Митинская ул., 48», Митинская улица (в центр);488.58632356872124
Митино;«Митинская ул., 48», Митинская улица (в центр);449.3118903403297
Митино;«Митинская ул., 48», Митинская улица (в центр);433.4223968532683
Митино;«Митинская ул., 48», Митинская улица (в центр);494.54833780586904
Митино;«Митинская ул., 48», Митинская улица (в центр);425.9743487863791
Сокол;«2-й Балтийский пер.», улица Усиевича (в центр);460.4629353523149
Сокол;«2-й Балтийский пер.», улица Усиевича (в центр);444.7997489114711
Окружная;«Нижн. Лихоборы», Дмитровское шоссе (от центра) (4);327.450100476177
Окружная;«Нижн. Лихоборы», Дмитровское шоссе (от центра) (4);352.6466144672826
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (в центр);447.7270461336226
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (в центр);449.06011326259033
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (в центр);409.80896275738905
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (в центр);409.7816683201214
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (в центр);418.4755399794405
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (в центр);485.1115645770057
Дмитровская;«Метро Дмитровская», Бутырская улица (в центр);144.95493262573487
Дмитровская;«Метро Дмитровская», Бутырская улица (в центр);158.28157989464347
Дмитровская;«Метро Дмитровская», Бутырская улица (в центр);127.44859953856239
Дмитровская;«Метро Дмитровская», Бутырская улица (в центр);169.59027947830012
Савёловская;«Савеловский вокз.», Бутырская улица (в центр) (1);305.02735923562676
Савёловская;«Савеловский вокз.», Бутырская улица (в центр) (1);219.09313594762824
Савёловская;«Савеловский вокз.», Бутырская улица (в центр) (1);374.31814051874545
Савёловская;«Савеловский вокз.», Бутырская улица (в центр) (1);386.7567430363304
Савёловская;«Савеловский вокз.», Бутырская улица (в центр) (1);407.81407048840356
Савёловская;«Савеловский вокз.», Бутырская улица (в центр) (1);401.80977207385774
Савёловская;«Ул. Сущевский Вал», Новослободская улица (от центра);426.09609972243913
Савёловская;«Ул. Сущевский Вал», Новослободская улица (от центра);449.66456353927754
Савёловская;«Ул. Сущевский Вал», Новослободская улица (от центра);390.77139247998684
Савёловская;«Ул. Сущевский Вал», Новослободская улица (от центра);384.8399940197598
Савёловская;«Ул. Сущевский Вал», Новослободская улица (от центра);373.2546539656733
Савёловская;«Ул. Сущевский Вал», Новослободская улица (от центра);343.95006263615085
Савёловская;«Савеловский вокз.», Бутырская улица (от центра) (1);309.47340853835044
Савёловская;«Савеловский вокз.», Бутырская улица (от центра) (1);246.7827926308879
Савёловская;«Савеловский вокз.», Бутырская улица (от центра) (1);376.6211909118858
Савёловская;«Савеловский вокз.», Бутырская улица (от центра) (1);388.90803194473733
Савёловская;«Савеловский вокз.», Бутырская улица (от центра) (1);410.3017815360588
Савёловская;«Савеловский вокз.», Бутырская улица (от центра) (1);412.7213408256631
Дмитровская;«Метро Дмитровская», Бутырская улица (от центра) (1);105.8784274379869
Дмитровская;«Метро Дмитровская», Бутырская улица (от центра) (1);94.12993958076562
Дмитровская;«Метро Дмитровская», Бутырская улица (от центра) (1);82.1239806102796
Дмитровская;«Метро Дмитровская», Бутырская улица (от центра) (1);102.49120216538584
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (от центра);400.2152224109734
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (от центра);398.854477996762
Тимирязевская;«434-е отделение связи», Дмитровское шоссе (от центра);476.3009657896559
